node,node_id,worker,worker_id,completed,session_opened,enabled,accepting,online
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-1,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-1,179,178,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-10,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-10,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-11,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-11,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-12,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-12,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-13,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-13,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-14,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-14,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-15,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-15,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-2,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-2,75,74,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-3,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-3,209,209,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-4,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-4,228,226,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-5,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-5,0,0,False,False,
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-6,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-6,152,152,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-7,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-7,268,268,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-8,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-8,277,273,True,True,True
增量节点02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-9,remote-0e108078-200a-4df0-9a58-a28abc97a692-incremental-9,288,287,True,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-1,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-1,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-10,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-10,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-11,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-11,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-12,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-12,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-13,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-13,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-14,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-14,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-15,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-15,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-16,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-16,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-17,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-17,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-18,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-18,0,0,False,True,True
备用节点,4dd3a5b8-b128-49a6-867f-81264e9acee4,incremental-19,remote-4dd3a5b8-b128-49a6-867f-81264e9acee4-incremental-19,0,0,False,True,True
