node,node_id,worker,worker_id,completed,enabled,accepting,online
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-1,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-1,0,False,False,
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-2,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-2,0,False,False,
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-3,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-3,50,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-4,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-4,49,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-5,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-5,43,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-6,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-6,52,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-7,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-7,54,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-8,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-8,32,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-9,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-9,51,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-10,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-10,51,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-11,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-11,27,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-12,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-12,38,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-13,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-13,37,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-14,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-14,57,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-15,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-15,54,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-16,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-16,48,True,True,True
增量主节点 node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-17,remote-54a7cdd3-eb9c-4713-8d2f-21f4a5279de0-incremental-17,28,True,True,True
