node,worker,window_start_utc,window_end_utc,completed,completed_per_minute,failed_events,failed_jobs,mean_completed_execution_seconds
node01,incremental-3,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,114,3.8,0,0,15.1711228070175440
node01,incremental-4,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,113,3.7667,0,0,15.3688672566371680
node01,incremental-5,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,109,3.6333,2,2,14.9935045871559630
node01,incremental-6,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,102,3.4,3,3,15.7840000000000000
node01,incremental-7,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,71,2.3667,0,0,24.8532957746478870
node01,incremental-8,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,85,2.8333,1,1,19.9505176470588240
node01,incremental-9,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,91,3.0333,4,4,17.2508021978021980
node01,incremental-10,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,84,2.8,6,6,17.4373214285714290
node01,incremental-11,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,81,2.7,7,7,17.3976049382716050
node01,incremental-12,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,121,4.0333,0,0,14.2046446280991740
node01,incremental-13,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,110,3.6667,1,1,15.7336818181818180
node01,incremental-14,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,107,3.5667,0,0,16.2041869158878500
node01,incremental-15,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,91,3.0333,0,0,19.2722967032967030
node01,incremental-16,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,107,3.5667,0,0,16.2485140186915890
node01,incremental-17,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,102,3.4,0,0,17.8491568627450980
node01,incremental-18,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,96,3.2,0,0,17.8756354166666670
node01,incremental-19,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,105,3.5,0,0,16.2987142857142860
node01,incremental-20,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,104,3.4667,0,0,16.6247307692307690
node01,incremental-21,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,102,3.4,0,0,17.2791568627450980
node01,incremental-22,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,100,3.3333,0,0,17.3769000000000000
node01,incremental-23,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,80,2.6667,11,11,15.5276250000000000
node01,incremental-24,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,99,3.3,0,0,17.6841111111111110
node01,incremental-25,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,114,3.8,0,0,15.2581403508771930
node01,incremental-26,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,111,3.7,0,0,16.0627387387387390
node01,incremental-27,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,107,3.5667,0,0,16.3234018691588790
node01,incremental-28,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,58,1.9333,20,20,15.6163793103448280
node01,incremental-29,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,84,2.8,11,11,14.8571666666666670
node01,incremental-30,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,50,1.6667,12,12,24.9538800000000000
node01,incremental-31,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,112,3.7333,0,0,15.4391964285714290
node01,incremental-32,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,114,3.8,0,0,15.1578245614035090
node01,incremental-33,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,39,1.3,19,19,23.4810000000000000
node01,incremental-34,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,85,2.8333,0,0,20.6388941176470590
node01,incremental-35,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,115,3.8333,0,0,14.9707304347826090
node01,incremental-36,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,116,3.8667,0,0,16.1097844827586210
node01,incremental-37,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,110,3.6667,0,0,15.8403090909090910
node01,incremental-38,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,67,2.2333,10,10,17.4300149253731340
node01,incremental-39,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,110,3.6667,0,0,15.7907636363636360
node01,incremental-40,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,109,3.6333,1,1,15.3951926605504590
node01,incremental-41,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,101,3.3667,0,0,17.2318910891089110
node01,incremental-42,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,114,3.8,0,0,15.1397982456140350
node01,incremental-43,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,74,2.4667,7,7,19.6757162162162160
node01,incremental-44,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,105,3.5,0,0,16.5006190476190480
node01,incremental-45,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,110,3.6667,0,0,15.8611363636363640
node01,incremental-47,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,103,3.4333,0,0,16.7820194174757280
node01,incremental-48,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,101,3.3667,0,0,17.3253465346534650
node01,incremental-49,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,81,2.7,0,0,22.5014197530864200
node01,incremental-50,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,99,3.3,3,3,15.9867777777777780
node02,incremental-1,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,110,3.6667,0,0,15.7940636363636360
node02,incremental-2,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,114,3.8,0,0,15.1587631578947370
node02,incremental-3,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,132,4.4,0,0,13.0826666666666670
node02,incremental-4,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,102,3.4,3,3,14.7775392156862750
node02,incremental-6,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,116,3.8667,0,0,14.7374396551724140
node02,incremental-7,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,93,3.1,4,4,16.8032580645161290
node02,incremental-8,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,94,3.1333,8,8,15.0582659574468090
node02,incremental-9,2026-09-24T08:13:00Z,2026-09-24T08:43:00Z,52,1.7333,20,20,17.0960384615384620
