node,node_id,worker_slot,before_completed,before_per_minute,ab_completed,ab_per_minute,c_completed,c_per_minute
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-1,50,1.6667,70,2.3333,77,2.5667
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-2,64,2.1333,38,1.2667,77,2.5667
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-3,53,1.7667,19,0.6333,74,2.4667
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-4,24,0.8,26,0.8667,63,2.1
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-6,59,1.9667,48,1.6,55,1.8333
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-7,40,1.3333,54,1.8,59,1.9667
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-8,43,1.4333,14,0.4667,68,2.2667
node02,0e108078-200a-4df0-9a58-a28abc97a692,incremental-9,54,1.8,59,1.9667,70,2.3333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-10,39,1.3,27,0.9,48,1.6
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-11,49,1.6333,49,1.6333,66,2.2
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-12,34,1.1333,50,1.6667,44,1.4667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-13,44,1.4667,38,1.2667,54,1.8
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-14,48,1.6,23,0.7667,62,2.0667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-15,41,1.3667,28,0.9333,39,1.3
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-16,46,1.5333,49,1.6333,63,2.1
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-17,58,1.9333,17,0.5667,58,1.9333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-18,57,1.9,59,1.9667,79,2.6333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-19,49,1.6333,22,0.7333,41,1.3667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-20,58,1.9333,45,1.5,54,1.8
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-21,58,1.9333,57,1.9,68,2.2667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-22,59,1.9667,49,1.6333,56,1.8667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-23,43,1.4333,52,1.7333,71,2.3667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-24,48,1.6,57,1.9,77,2.5667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-25,26,0.8667,45,1.5,56,1.8667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-26,34,1.1333,50,1.6667,37,1.2333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-27,28,0.9333,50,1.6667,48,1.6
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-28,51,1.7,42,1.4,50,1.6667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-29,57,1.9,51,1.7,63,2.1
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-3,49,1.6333,39,1.3,49,1.6333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-30,52,1.7333,48,1.6,63,2.1
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-31,46,1.5333,60,2.0,70,2.3333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-32,53,1.7667,40,1.3333,64,2.1333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-33,56,1.8667,55,1.8333,80,2.6667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-34,45,1.5,43,1.4333,65,2.1667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-35,57,1.9,49,1.6333,65,2.1667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-36,45,1.5,44,1.4667,57,1.9
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-37,46,1.5333,66,2.2,73,2.4333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-38,53,1.7667,42,1.4,68,2.2667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-39,31,1.0333,28,0.9333,60,2.0
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-4,55,1.8333,37,1.2333,56,1.8667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-40,34,1.1333,50,1.6667,77,2.5667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-41,48,1.6,49,1.6333,66,2.2
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-42,60,2.0,22,0.7333,23,0.7667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-43,45,1.5,54,1.8,40,1.3333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-44,56,1.8667,47,1.5667,59,1.9667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-45,45,1.5,41,1.3667,64,2.1333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-47,44,1.4667,23,0.7667,60,2.0
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-48,46,1.5333,46,1.5333,63,2.1
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-49,38,1.2667,52,1.7333,62,2.0667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-5,47,1.5667,58,1.9333,71,2.3667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-50,59,1.9667,23,0.7667,78,2.6
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-6,39,1.3,46,1.5333,53,1.7667
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-7,49,1.6333,48,1.6,79,2.6333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-8,59,1.9667,37,1.2333,40,1.3333
node01,54a7cdd3-eb9c-4713-8d2f-21f4a5279de0,incremental-9,54,1.8,29,0.9667,72,2.4
