channel_id,title,handle,subscriber_count,total_view_count,total_video_count,subscriber_count_status,total_view_count_status,total_video_count_status,external_links_status,publication_finalized_status
UCG_pWz_Xwkr4coWE40-c_8Q,Embarcar na Comida Shorts,@embarcarnacomidashorts,20600,7048079,345,estimated,exact,exact,observed,ready_partial
UCNTh5Yg8SOvm73Y52T9Q7FA,Juca Cosméticos,@JucaCosmeticos,2960,2233705,60,estimated,exact,exact,observed,ready_partial
UCyjAqGl_Cm8pIcoo649hb_w,Talyta Rocha,@aTalytaRocha,19000,1660262,374,estimated,exact,exact,observed,ready_auto
UCUhtM9fynWT-hX89-cPX1dA,Bonsai Sul de Minas,@BonsaiSuldeMinas,80900,8506389,1313,estimated,exact,exact,observed,ready_auto
UCw1x5GDOQsQ9yVrpTrKYxHg,Praticando Matemática com Maicon Meneguci,@praticandomatematica,367000,23454882,2521,estimated,exact,exact,observed,ready_auto
UCe7j-NYdE7Pt5X9ePV2akrw,Mundo Sortido,@mundosortido,3780,485905,154,estimated,exact,exact,observed,ready_auto
UCpidjot63BGv83_toHhep0Q,Harmonizadora Elite,@harmonizadoraelite,2630,305804,556,estimated,exact,exact,observed,ready_auto
UCalHfR2pse1dDbx60ZDeRbA,Boom Buddies Português - canção infantil,@BoomBuddiesPortugues,1730000,762271720,752,estimated,exact,exact,observed,ready_auto
UCL-UhZ3L2Z50o6FmLJhQiKQ,Lendo com Bia,@LendocomBia,1030,62287,215,estimated,exact,exact,observed,ready_partial
UCDF7oFN--qPKILft1IBt1VQ,Babi Malta,@babimalta,1420,209756,519,estimated,exact,exact,observed,ready_auto
UCRVaI4IW4Vk3q3GRpTw6bOg,Eaê Brazil,@Ea%C3%AABrazil-j8o,3770,200593,98,estimated,exact,exact,observed,ready_partial
UCCeS-K35mqLhr6g9FPRjgvQ,Viviane Rainer,@vivianerainer,93900,8344991,502,estimated,exact,exact,observed,ready_partial
UCoGC9XAfybADO6TGjpfi35Q,Olenka Cosmeticos,@OlenkaCosmeticosOficial,112000,6662178,385,estimated,exact,exact,observed,ready_auto
UC5Cj_Jhd0FA40ok_q6SmdjA,MNTV ESPORTE,@MNTVESPORTE,5870,668287,3767,estimated,exact,exact,observed,ready_auto
UCEjqqQ--cT_q7YCwFUSvEsQ,Alexandra Baxinha Dicas,@Alexandrapmatias,13100,1440080,179,estimated,exact,exact,observed,ready_auto
UCFcJhNRTLzJKiolNaAJkvDw,Rogério Moreno PQD,@rogeriomorenopqd,454000,72937105,2678,estimated,exact,exact,observed,ready_auto
UC2lIoHYg-xTQzUglyYGFWqw,Praticar Ensino,@PraticarEnsino,4960,261569,259,estimated,exact,exact,observed,ready_auto
UCP2nzu3PlDX2S-ZtSGl0jMg,"Por onde andei, com Fernanda Götz",@porondeandeicomfernandagotz,46300,5160908,436,estimated,exact,exact,observed,ready_auto
UCT4SghefAMuUYLRzzfCuorQ,Folha BV,@TVFolhaBV,14900,7454807,3950,estimated,exact,exact,observed,ready_auto
UC9U8yUk30C--oiLqJOjwbDQ,O Bonsai,@OBonsaiPlay,4650,198061,250,estimated,exact,exact,observed,ready_auto
UCXVMxyZwJBjy92x0loZ8jFA,Dra. Nathália Dantas,@dra.nathaliadantas,4880,2720819,692,estimated,exact,exact,observed,ready_partial
UCo4RsZ4uw-X_tDmzF7zZiCg,Fator X,@FatorX,5910,605690,994,estimated,exact,exact,observed,ready_auto
UCHFpQ5wPD-GQrNPEGBPQZrw,Ana Beatriz,@AnaBeReading,12700,3797462,1202,estimated,exact,exact,observed,ready_auto
UCV99tmXPLkeHVc8cYPBcvwQ,Estante Narrada,@estantenarrada,2750,178413,308,estimated,exact,exact,observed,ready_auto
UC6lnazfFNRVXvqCWNWzwvEw,Guri dos Livros,@guridoslivros3963,1280,72845,114,estimated,exact,exact,observed,ready_auto
UCYpmUB1uPNtQGpaja6f5djg,Imaginando,@Imaginando.livros,2330,1171056,836,estimated,exact,exact,observed,ready_auto
UCZrXLo5watwtTTsrnvlOvbQ,Debora Kely,@deborakelyumavoz,4370,192108,100,estimated,exact,exact,observed,ready_auto
UC5apXB99BP3zsYsx6Bjrkiw,Tailany Costa,@TailanyCosta,2720,174470,654,estimated,exact,exact,observed,ready_auto
UCrt5as5vH1pc1rM38veoYsg,Nat e livros | Booktube,@anatlivros,3320,201821,242,estimated,exact,exact,observed,ready_auto
UCFPTgynsjp6p10T-pjM9eXA,Ler Pra Quê?,@lerpraqueoficial,6910,489540,268,estimated,exact,exact,observed,ready_auto
UCXeaFBguCfpYmQ6O36uaqHw,kauadaff,@kauadaff,5210,157767,107,estimated,exact,exact,observed,ready_auto
UCQVzMbTI6Vxr2C50f7jpe_w,Linhas de amor,@linhasdeamor,112000,10655331,333,estimated,exact,exact,observed,ready_auto
