channel_id,title,contents,likes_policy_zero,description_empty,subscriber_count,total_view_count,total_video_count,video_views,video_likes,video_comments,channel_issues,video_issues
UC-4u0GfRUv5_jhmr6os2ECw,Tudo Sobre Pós-Graduação,3,0,0,1410,193922,178,135,9,0,0,0
UC-SoGEMApQorelX1GIDJlpA,Bruno Corano,29,0,0,126000,8416084,1954,76304,4930,273,0,0
UC-cWjErNAZPXg9W4pnaZMpA,O xent1,30,0,5,5590,939466,1651,19247,994,27,0,0
UC-mK7LtC6mp2DdJJaVucFPA,CONEXÃO DA RODAGEM,28,0,0,32400,6269803,188,182547,10166,339,0,0
UC-qQ3iSgF1pj2Yp-JvftvHA,"Doce, Sal e Etc - LORI FONSECA",7,0,0,1270000,87501579,1036,12072,1462,114,0,0
UC-zQLUAfHc4nqefmcl2LIKQ,Sixs,9,0,0,50000,5371198,545,52934,3145,397,0,0
UC-zgQq7wys1VMOsuCojiHag,Fábio Loja,24,0,0,5990,2954111,471,32989,236,3,0,0
UC0Ec9FXyo1aKH9OEPyQ0OOg,Markus Art - 3D Modeling for Games,28,5,18,8170,480576,236,26737,1190,88,0,0
UC0IQq2oi4rh0IeSgpydzQvw,ObjetivoOficial,27,0,0,18300,89657610,1186,8933796,136,0,0,0
UC0QHzTNeFL7QmqD4futUQZQ,Sara Rodrigues,30,0,30,277000,102693451,5530,504766,16789,1822,0,0
UC0SiM5adXd94ntSeblQ5Izg,Felipe Barchi,8,0,0,5630,547583,365,759,20,9,0,0
UC0iy5-Wne9W2ZHbZCKzLm3Q,Sergio ASMR,1,0,1,1700,68636,31,927,106,20,0,0
UC1DA0RNe8GDgrtxxtiJx9uQ,Fabricia Queiroz Confeitaria,30,0,30,22700,3585879,245,240821,9919,920,0,0
UC1buoupsUGMber8bgpC_7mg,BemnaBIO,27,0,0,6200,276158,495,1225,134,18,0,0
UC1puCwUDirYqKN-O3MpYe7Q,Censuradas !,3,0,0,190000,29006344,723,839,33,1,0,0
UC22UAROYa_93fYJz2kkTVZw,Nathi BLOGS,11,0,11,56000,14113264,527,258815,21445,1257,0,0
UC2A3ms_WaRBRwjh4pltENHg,BK NA CENA,25,0,0,25300,6977500,103,256723,6677,904,0,0
UC2AjjZ0k-Rba8fiuwpz1R2Q,JUANRIBE PAGLIARIN,30,0,3,839000,80049888,1944,236061,15403,1018,0,0
UC2FLKWRbH1z14OH7jKWNNsQ,Henry Gonçalves,13,0,0,418000,63808984,447,720080,44475,1735,0,0
UC2IVL1J2kc8Ev0YB3S4Q-yg,Segredos do DNA Verde,2,0,0,13700,964855,16,418,34,10,0,0
UC2NNaOtNlT-rkm1Mf6xxRfw,TV UFPB,8,0,5,33300,3978971,3191,2075,64,0,0,0
UC2Q8dOuCbqXyFSjr-cdi4tg,SIMONI RAMOS RECEITAS,30,0,0,333000,51655223,1231,554234,42106,1691,0,0
UC375xlcAVvFcVJqCMr9rVMA,Mines lucas moz,30,0,3,37800,3546077,443,233903,32005,3231,0,0
UC3KNwMttOriF39VubgxhcjA,B-DYNAMITZE OFFICIAL,14,0,14,373000,118266505,296,10729,573,75,0,0
UC3MLH9Ai2P5wC7fiGIWBu1A,Núcleo de Estudos da Violência,2,0,1,8430,349461,300,120,18,0,0,0
UC3SCNqzMHIRAHwC1FU3Higw,Pedro Aventura,30,0,30,99800,32166552,2311,30337,450,5,0,0
UC3SGk_3HL9glhbrlJjHTD1Q,Nipponflexoficial,16,0,7,43400,2301957,204,10810,525,0,0,0
UC3bwXp8SU6EqK3Bb6tYKbhQ,INSCRITOS MILIONÁRIOS,30,1,16,63500,2242545,937,72584,4538,452,0,0
UC439Z2B4IQAWaIdaPLX7VsQ,Cortes do Vinicin [OFICIAL],30,0,0,138000,36256786,2707,404369,16792,1249,0,0
UC4H35F5f2c5cyR-pbZlt12Q,Tiago Salem,1,0,1,18100,337254,27,3227,118,36,0,0
UC4MJsxAdWoPg3LJ5jdIsCxw,RONALDO SIMULATOR,30,0,0,74400,14865922,2201,342586,11002,1301,0,0
