频道ID,频道名称,入库内容,普通视频,Shorts,直播回放,订阅数(估算),频道总播放量,频道总视频数,本批播放量,本批点赞数(含策略零),本批评论数,点赞策略零条数,空描述条数,频道核心异常,视频核心异常
UC-d4a6Vgcld9WA1v6auLOCA,UNIVERSO MOTOS,30,16,14,0,1720,225893,388,9588,195,6,0,2,0,0
UC-u6HYHgypke493mAsoAshQ,Flor de Farinha,4,4,0,0,911000,104039328,452,56217,3558,234,0,0,0,0
UC-vLvoh_mCzD3y8U6yHuAPQ,PV PALPITES,30,24,6,0,93500,11368604,1586,162670,13200,883,0,6,0,0
UC0FaxAZ-OLsfd5OsciRDflA,Doce Mundo da Sol,28,9,18,1,15400,3987452,303,30331,1079,47,0,15,0,0
UC0tQ665T1EJlI422-D_WSiw,Gigante Richard Cortes,30,18,0,12,31300,7545092,2095,106077,7106,627,0,0,0,0
UC1Lh-XiRAzRtg4lIOeztl4A,WANYA SANTOS ACESSÓRIOS,15,9,6,0,157000,9292098,334,84798,8004,555,0,6,0,0
UC1j6f1dgg717ex7Qa-FgHjQ,Dona Onça - por Erika Barbosa,11,1,10,0,22300,3711952,467,12777,253,25,0,6,0,0
UC1kVAZnFwzlU5c6i7LRF9DA,Kelly Prado Handmade,30,29,1,0,84200,16625878,1269,594278,19951,689,0,1,0,0
UC2rz-L190FmdgjN1i32SCOQ,Motor&CIA,30,9,21,0,117000,48129577,1617,597131,25433,1319,0,21,0,0
UC2xt2x1gLb8FmwBsarQ0AdA,Jéssica Lins,26,16,10,0,16300,3581504,513,66714,1613,503,0,9,0,0
UC34nZd7WPP3--8KxjO4_MbA,Fagner Trainer,10,10,0,0,128000,5322322,426,24288,3111,532,0,0,0,0
UC3tWyhbC9dUZAbOXC0DWcCA,Ricardo Santana,30,28,0,2,28000,3687694,592,265428,40469,3432,0,0,0,0
UC5w0z3TmSmabWQRfLcHE6nA,Luciana Arte em Bijuterias,4,3,1,0,180000,9620339,247,12674,924,98,0,0,0,0
UC68VFt5fVXJ1cSXxP1nDPKg,Rei da Bike,10,1,9,0,3340,1512441,234,34349,1063,22,0,9,0,0
UC7OeNNuAq23-6L6bDOSm8xQ,Johnny,30,29,1,0,12100,3872774,499,24613,0,50,30,1,0,0
UC8sg8HnmSOjwTCoKx9j6XVw,Bead Jewelry Bootcamp,4,4,0,0,6110,143310,155,846,69,2,0,1,0,0
UC9zHETING2h3aDX5m_rmW5Q,Criando Bicos com agulha,4,3,1,0,23200,1584618,393,712,38,0,0,4,0,0
UCA9C5eQp89xjeOH1SgeLMnw,Daiany Sousa,30,0,30,0,6610,2426510,590,55229,1140,33,0,30,0,0
UCBN1TFSLLxnnlndRQiFmCfg,Artes da Cata,21,20,1,0,673000,84809120,2171,26872,2175,155,0,1,0,0
UCBozcmoGaBE2_wpvpFDmnyQ,Teteu Palpites TIPS,30,20,10,0,23900,11355522,589,17349,736,9,0,11,0,0
UCCNdDo0Nh-y3PcWeUnDGwtg,Sala de Trânsito,30,30,0,0,62700,8238415,1949,8682,835,105,0,0,0,0
UCD2oSog85xBT8fDvw6i_jCA,Inteligentista,9,5,0,4,265000,9089001,145,217159,28428,2037,0,0,0,0
UCEU4GitV5Hs2b6DKgIm9KMQ,Matemática das Apostas,30,30,0,0,29300,1992105,674,115180,6476,569,0,0,0,0
UCExDl4GyUZKSPJnBMoxQh5A,O Melhor Prato,20,0,20,0,108000,7066799,492,531987,20712,492,0,8,0,0
UCFyvIIY8ju8CxTvlzTDDgoA,Canal Hoops!,2,2,0,0,45700,6005985,370,5622,327,44,0,0,0,0
UCGgOQyJQdCWDu8l5jePsteQ,Motolama Magazine,26,14,12,0,39900,2892857,340,150507,22933,2499,0,0,0,0
UCHyiv8lnjBW43ec0TqQkk9Q,LUCRANDO AGORA TIPS,30,30,0,0,11600,924344,1366,72109,3798,87,0,0,0,0
UCIAWRdkgxcy9_nQVeDN1ZZg,Bets de Hoje,30,30,0,0,11500,1306603,360,105121,9069,770,0,0,0,0
UCJcMjuzX4KeG9XLKAWWL5zw,Matheus Watanabi,14,0,14,0,513000,385166205,2440,360779,4066,36,0,14,0,0
UCKkCo6ITuWFgQ21e3W5CBqg,Manual Do Artesanato,7,5,2,0,99900,5016948,217,5210,258,10,0,2,0,0
UCM5IM0KfYTW3792zuydLgAg,Guedes tips,2,2,0,0,61600,3744069,900,4761,381,53,0,0,0,0
UCMZh4EQg_F8whPx2ZY49Pnw,Dr. Mateus Bem - Saúde o Caminho,4,0,4,0,14700,594033,188,2651,142,18,0,0,0,0
UCNCSZVTzpLwqyl5V2BL8sHg,JoiasVip,29,0,0,29,27700,4527136,589,44058,1186,5,0,0,0,0
UCNjzTdlj-k_aiTtsWipPD8w,SolarBalls - Brasil,30,11,19,0,230000,58601660,229,2105990,91284,6130,0,0,0,0
UCOCfm7WIsubQvwGjRfpXm7g,Samara Santos,15,10,5,0,109000,10284045,638,47670,2377,347,10,1,0,0
UCOzpeyo_EyQi7xatAqSwQWg,A Fórmula da Semijoia - Fabio Castro,8,2,5,1,147000,2347579,363,2244,82,5,0,5,0,0
UCPjIhA6bSDAvokY007j9h5g,Philippe Iodjahn,13,4,9,0,256000,82057477,742,2303580,46479,879,0,0,0,0
UCQpgO_PDgQTd4rlMHj-0iUA,Sonia Maria Arte,7,3,2,2,18800,1803152,593,3568,154,11,0,1,0,0
UCR1uOm9uM6pEaetMDrV7nGQ,Motocycle & Adventure Pianão,4,0,4,0,50700,4270953,305,7159,93,8,0,0,0,0
UCSCo5xAaZLMzpV6gCS1MY7g,Elaine Croft,3,0,3,0,24900,10416962,663,10075,108,4,0,0,0,0
UCTJr1_hL_pse-DTdDEQFX9g,O Astronauta Urbano,1,1,0,0,16600,1830235,183,3129,393,57,0,0,0,0
UCVFCHmRQbIwjj6F3d9JIteg,Groove Bikes,17,2,15,0,1820,236114,138,7787,195,9,0,4,0,0
UCZ0VeEQhJiEKt_kMvnldCHw,Palpites de Futebol - Guilherme Delpino,30,4,26,0,275000,4445840,712,27902,1247,244,0,26,0,0
UCZrt0rNS66rpxyzlfSHBQwg,Jilsi Indica 💞,30,0,30,0,1770,434442,212,15495,297,15,0,30,0,0
UCaBmV5wtglN4Npywdq4ZBQA,Bike Ride,1,0,1,0,9490,5287720,1495,305,3,0,0,0,0,0
UCb6TzWWJjwFKywZOCFcExJQ,Pedaloucos Curitiba,5,5,0,0,1550,70107,339,1993,177,26,0,0,0,0
UCb7yqSJ5BHkr44QpHIzj1gQ,RAFAEL PALPITES,30,30,0,0,54100,6645683,1619,175158,6924,315,0,0,0,0
UCcDerngKTEU5ryjMS-ThLbg,TV Norte Pará | Afiliada SBT,30,29,0,1,325000,13305106,9670,35483,1380,147,0,3,0,0
UCcU0Da1a7MAPKtjITZRpSfQ,High Torque Store,30,0,30,0,25400,19892233,1239,75419,4764,79,0,0,0,0
UCfOh1YhAHARTWbfoEHkGg6w,ABRINDO O MAPA,30,30,0,0,32200,5485929,369,332157,22353,2571,0,0,0,0
UCgItrHIOhKDN_0Qd1TJUITw,Caio do Anesio o vovô do Brasil,30,1,29,0,226000,107625237,13185,101529,4031,414,0,0,0,0
UChqP8zJwR3ZFDRq23q0aftg,Cipullas,15,15,0,0,13500,2196108,293,113223,7467,445,0,0,0,0
UCiN74t7gNYif8vj5TQXri5w,natan 019,30,13,17,0,593000,121563791,2362,109512,4676,214,0,17,0,0
UCinQhZg0ee3s3cEphmUdA2g,Debora,1,1,0,0,6520,1494223,161,27,2,0,0,0,0,0
UCjOxn8cub3rZTAgHq-lnqEg,Manicômio B,30,2,28,0,6440,1019983,746,22881,807,70,0,30,0,0
UCkzIiGG-O2cYHuTu70FBvIA,Adriana Penna - Nafonte Chinelos,28,5,21,2,327000,18623772,1237,86571,4725,275,0,2,0,0
UCl0hWqLLR-auVUXuZ9atTQA,M. V. 7 - Motos,30,16,14,0,5970,1300449,455,115580,3999,447,0,0,0,0
UClehmSvwuhQweUMtN7IcBzw,PALPITES DO REI,30,30,0,0,193000,32735721,2306,430856,13216,513,0,0,0,0
UCnzkR6iSvqowub0jHOETIVQ,CarlosBarrosBike,30,21,9,0,16800,3267148,603,111716,7712,1008,0,8,0,0
UCo15mVX2VxTMffPDz3n1R7w,WE FLOW,29,6,22,1,60500,2897217,188,89580,5021,399,0,22,0,0
UCoTjcpJU0laOUouES7VnBwA,Rincon Escondido Parrilla,26,10,16,0,15900,1258200,242,30171,613,2,0,0,0,0
UCqCMh-veIDV-Q4BQnIaxiFw,ArtStones,4,1,0,3,47900,2486768,202,9013,824,44,0,0,0,0
UCr6uyL4Kly3yWQE-sA3bRpg,CANAL MOTO START,30,30,0,0,24900,7160373,460,263925,7105,346,0,0,0,0
UCtBHNIL3YmfMEEbKvN1TlJA,Vitor Zamboti BMW MOTORRAD,13,2,10,1,6850,1476933,148,23939,933,54,0,10,0,0
UCu63d5lTTJIKa7mNeJbRNIA,Gravel Stories,1,0,1,0,6210,1274968,111,2085,0,6,1,1,0,0
UCuZyA2y2xuh5mdOnUqd9XPw,Clube do Osciloscópio - VCO Cotta,14,3,11,0,42500,5628766,336,36489,1424,115,0,3,0,0
UCvObN8Zwe6VfupZheqreGrg,CAR.Vapor ACLF,30,24,6,0,35500,7088215,1272,39407,2138,182,0,26,0,0
UCvQzawL23D-57Qbl6FK_Ogg,SARTØR,16,9,7,0,9700,581976,128,104359,2195,397,10,1,0,0
UCwuwq5hrXG1pU95ms4FQxng,CreativeTube,30,22,8,0,34400,2530234,229,454385,22620,472,0,6,0,0
UCyZAZxKMeTDVuOesdjeh4JA,Açougue top das galaxias,13,0,13,0,9170,1926451,519,21476,277,3,0,13,0,0
